,Job title,Location,Date,Link,Job Attributes,Job description
24,Private Care Manager,"Waltham, MA boston/cambridge/brookline ",Feb  9,https://boston.craigslist.org/gbs/npo/d/waltham-private-care-manager/7443708305.html,"
compensation: Competitive Salary

employment type: full-time

job title: Private Care Manager

non-profit organization

","

QR Code Link to This Post


Springwell's Private Care Management Program is an innovative fee-based care management program that provides comprehensive support to elders, disabled adults and their families at an affordable rate. Join our growing team and be part of this important effort to help families navigate the challenges of health care and maintain a high quality of life despite challenges.
POSITION DESCRIPTION
Springwell's Private Care Management Program is an innovative fee-based care management program that aims to expand our mission and our reach. The Private Care Manager (PCM) is a seasoned professional (Social Worker, Allied Health or other Human Services Professional) who will work to help find practical solutions to the challenges of aging, disability and caregiving by developing a comprehensive care plan that addresses the client's goals and preferences. The ideal candidate will have experience in home-and-community-based care and a good working knowledge of the health care and elder services landscape. The Springwell PCM will work as a member of our team to expand access to care management to those populations who may not qualify for subsidized service or have the means to pay privately at current market rates.
The Springwell PCM will conduct an assessment, identify resources and develop a care plan that meets the needs, goals and preferences of the client - and secure and coordinate the delivery of services upon request. Requests for assistance from the PCM are varied in depth and scope and require creativity, flexibility and problem solving skills. Additional responsibilities include provision of short-term Options Counseling delivered at no cost to callers to our Information and Consultation Department. As this is a private pay program, PCM tasks and travel are billable at an hourly rate. The PCM is responsible for tracking and documenting time spent with their clients, as well as other documentation and billing requirements.
QUALIFICATIONS 

Bachelor's degree required, Master's Degree preferred in a Social Work, Allied Health or a Human Services-related field. 
Minimum of 2 years' experience working with seniors and their families/caregivers.
Knowledge of community resources, entitlements and private insurance systems 
Possess excellent customer service skills and the ability to work independently
A reliable car, current driver's license and safe driving record required.

GENEROUS BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.


Keywords: Private care manager, private care management, care manager, care management, case manager, case management, allied health, social worker, elders, elder care, elder services, geriatric, older adult, disability, human services

If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2219912-143011
 "
25,Care Advisor,"Waltham, MA boston/cambridge/brookline ",Feb  9,https://boston.craigslist.org/gbs/npo/d/waltham-care-advisor/7443707408.html,"
compensation: Competitive Salary

employment type: full-time

job title: Care Advisor

non-profit organization

","

QR Code Link to This Post


Help keep older adults in their own home by becoming a Springwell Care Advisor!
* This position has a $1500.00 SIGN-ON BONUS
A Care Advisor conducts comprehensive in-home assessments with elders, helps determine needs and eligibility for government subsidized services, creates care plans and coordinates services. 
Duties include conducting in-person home visits and documentation of assessments into a statewide database as well as communication and consultation with family members, other Springwell staff, and community professionals.
No weekends, evenings, nights or holidays.
QUALIFICATIONS

Bachelor's Degree or higher.
Applicants without a Bachelor's Degree may be considered if:

The applicant has an Associate's Degree and at least 3 years' experience working with elders or providing case management services; OR
The applicant has completed at least 50% of coursework required for a Bachelor's Degree and agrees to complete the remaining coursework within a 3 year period.


Experience working with computers, entering data, and running reports.
Applicant must have a reliable car, current driver's license, and safe driving record.

GENEROUS BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Telecommuting, Remote, Telecommuter, Telecommute, Council on Aging, Program Coordinator, Case Worker

If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2219908-143011
 "
26,"UNION JOBS! Direct Support (DSP) Morning, Overnight, Flexible, Relief",Somerville boston/cambridge/brookline ,Feb  8,https://boston.craigslist.org/gbs/npo/d/somerville-union-jobs-direct-support/7443521454.html,"
compensation: $17 - $18.50 per hour

employment type: employee's choice

job title: Direct Support Staff (HHA, CNA, PCA, DSP)

non-profit organization

","

QR Code Link to This Post


Start 2022 a new rewarding career! We offer competitive pay & excellent benefits.

Summary:
Walnut Street Center is a nonprofit organization, looking for dedicated & compassionate Direct Support Professionals to work with individuals with Intellectual Disabilities in our residential Programs located in Arlington, Cambridge and Somerville.
Street parking available and all sites are accessible by public transportation.

If you're interested in joining a great team of professionals, in a rewarding & supportive environment, please click the link below to apply online, or reply to this ad with your resume and a member of our team will gladly reach out.

https://www.wscinc.org/careers/application-form/

Responsibilities:

 Provides hands on assistance to individual around Activities of Daily Living, personal care, and nutritional needs.

 Provide assistance to maintain medical needs; administers medication and treatments, charts progress, attends medical appointments and serves as the liaison to medical personnel.

 Participate in the development, implementation, evaluation, and documentation of ISP objectives.

 Provides therapeutic support and supervision to ensure safety and well- being of individuals.

 Completes other task as assigned.


Benefits:
Generous paid time off package including: vacation, personal, sick & paid holidays
401(k) with generous match
Health insurance
Health reimbursement plan
Vision insurance
Dental insurance
Flexible spending account
Tuition reimbursement
Employee assistance program
Company Paid Life Insurance, Short-Term & Long Term Disability

Schedule:
Morning 9am - 3pm
Evening 3pm - 11pm
Overnight 11pm - 9am
Relief (per-diem)
Full-time
Part-time
Overtime available

Requirements:
> Valid Driver's License
> Covid-19 Vaccine Card
> High school or equivalent (preferred)
> Experience: related - 1 year (preferred)
> Ability to communicate effectively in English
> Ability to independently complete computer based training

"
27,LEAD Residential Assistant - Adult,Woburn metro west ,Feb  8,https://boston.craigslist.org/bmw/npo/d/lexington-lead-residential-assistant/7443248681.html,"
compensation: $19.91- $24.74 / Hour DO Education & Experience

employment type: full-time

job title: Lead Residential Assistant - Adult Services

non-profit organization

","

QR Code Link to This Post


The faculty and staff who work at The Guild's day and residential special education school and The Guild's adult residential services are guided by our core values of integrity, collaboration, excellence, diversity, and respect. Transforming Lives and Realizing Potential. This is what we are about and if you have a passion for helping others...

This is a Career Building opportunity offering exceptional training, support, and benefits. Our adult residential home in Woburn houses 5 individuals with special needs and we are seeking a shift leader for four days on and three days off. Wages are super competitive, tuition assistance benefits are among the best in this field, and we always look to promote within our organization!!

Must have current MAP certification or ability to pass Guild MAP training within 45 days.
Requirements and Duties:
• Provides instruction and support to the residents in the areas of activities of daily living
• Maintains a clean, safe, positive living environment for each individual who lives at the residence
• Must be able to perform C.P.I (full training provided)
• Provides personal care when needed
• Plans community activities with individuals in the residence
• Transports individuals to and from day program, work program, doctor's office, home, community activities or any other
• Assists in the development and implementation of each individual's residential ISP and daily activity schedule.
• Administers and records individuals' medications, as directed during MAP training.
• Assists in the development and implementation of each individual's residential ISP and daily activity schedule.
• Administers and records individuals' medications, as directed during MAP training.
Key Qualifications:
• A minimum of an Associate's Degree is required
• Good interpersonal skills , common sense, and maturity
• Willingness to learn from skilled professionals
• Must be dedicated, energetic and committed to making a difference in the residents' lives
• A valid driver's license
• Ability to pass CORI/DCF and national fingerprint checks (required for employment)
If this sounds like an opportunity that you would like to explore with us, fill out our online application on Guild Human Services website.

*Applicants must be able to attend a mandatory paid pre-service training program that is held Monday through Friday primarily day time and some evening hours.

**Please fill the application with a resume/cover letter on the link below to be considered for these openings. Candidates who present with the appropriate background and skills as evidenced on their resume will be contacted to arrange an interview.
https://www.guildhumanservices.org/form/apply-online
"
28,LEAD Residential Assistant - Adult RATE++,Burlington metro west ,Feb  8,https://boston.craigslist.org/bmw/npo/d/burlington-lead-residential-assistant/7443248136.html,"
compensation: $19.91- $24.74 / Hour DO Education & Experience

employment type: full-time

job title: Lead Residential Assistant - Adult Services

non-profit organization

","

QR Code Link to This Post


The faculty and staff who work at The Guild's day and residential special education school and The Guild's adult residential services are guided by our core values of integrity, collaboration, excellence, diversity, and respect. Transforming Lives and Realizing Potential. This is what we are about and if you have a passion for helping others...

This is a Career Building opportunity offering exceptional training, support, and benefits. Our adult residential home in Burlington houses 5 individuals with special needs and we are seeking a shift leader for four days on and three days off. Wages are super competitive, tuition assistance benefits are among the best in this field, and we always look to promote within our organization!!

Must have current MAP certification or ability to pass Guild MAP training within 45 days.
Requirements and Duties:
• Provides instruction and support to the residents in the areas of activities of daily living
• Maintains a clean, safe, positive living environment for each individual who lives at the residence
• Must be able to perform C.P.I (full training provided)
• Provides personal care when needed
• Plans community activities with individuals in the residence
• Transports individuals to and from day program, work program, doctor's office, home, community activities or any other
• Assists in the development and implementation of each individual's residential ISP and daily activity schedule.
• Administers and records individuals' medications, as directed during MAP training.
• Assists in the development and implementation of each individual's residential ISP and daily activity schedule.
• Administers and records individuals' medications, as directed during MAP training.
Key Qualifications:
• A minimum of an Associate's Degree is required
• Good interpersonal skills , common sense, and maturity
• Willingness to learn from skilled professionals
• Must be dedicated, energetic and committed to making a difference in the residents' lives
• A valid driver's license
• Ability to pass CORI/DCF and national fingerprint checks (required for employment)
If this sounds like an opportunity that you would like to explore with us, fill out our online application on Guild Human Services website.

*Applicants must be able to attend a mandatory paid pre-service training program that is held Monday through Friday primarily day time and some evening hours.

**Please fill the application with a resume/cover letter on the link below to be considered for these openings. Candidates who present with the appropriate background and skills as evidenced on their resume will be contacted to arrange an interview.
https://www.guildhumanservices.org/form/apply-online
"
29,Create your own full time job!,"NORTH ANDOVER, MA northwest/merrimack ",Feb  7,https://boston.craigslist.org/nwb/npo/d/north-andover-create-your-own-full-time/7443066579.html,"
compensation: HOURLY B.O.E.

employment type: employee's choice

job title: Retreat Staff

","

QR Code Link to This Post


CREATE YOUR OWN FULL TIME JOB!!!
RETREAT CENTER EMPLOYMENT/MINISTRY OPPORTUNITIES

Rolling Ridge Retreat and Conference Center in North Andover is a historic, top rated Christian retreat center, year round facility that welcomes groups and individuals for day meetings and overnight retreats. 

Looking for full time work and have experience in all of the needed part time jobs?  Join the Rolling Ridge team and create your own full time job by becoming a flex staff employee offering your time and talents to multiple departments.  You’ll never get bored! 

Rolling Ridge is offering multiple part time opportunities for hospitality workers to return to their passion and craft in a NEW AND DIFFERENT ENVIRONMENT than they were in prior to the pandemic.  Employment at Rolling Ridge offers a unique level of MINISTRY to its guests that is rarely found in today’s workforce; seeking to transform lives by connecting all people, God, and creation, at the 38 acres of beauty along the shore of Lake Cochichewick and the early 1900’s mansion that is Rolling Ridge. 

Let your career transform to ministry today in one (or more) of the following part-time positions which are available immediately.  Please reply to us with a thoughtful cover letter and resume to thestaff@Rollingridge.org.  Thank you.

PART TIME HOUSEKEEPER: The Housekeeper assists the Housekeeping Manager in attending to the interior of the Rolling Ridge facilities, creating a clean and orderly environment for guests with integrity and attention to detail. Essential Job Functions:
•	Assist  Housekeeping Manager in ensuring the retreat center is kept clean and maintained by performing a wide variety of cleaning activities such as sweeping, mopping, dusting, and polishing
•	Clean bedrooms including making beds, swiffering floors, dusting and emptying trash
•	Clean bathrooms including mopping floors, cleaning toilets, showers, sinks, windowsills, and emptying trash
•	Restocking bathrooms with supplies
•	Keeping all public and meeting spaces clean
•	Notify Housekeeping Manager and/or Operations Director of any damages, deficits, or disturbances in rooms
•	Address complaints/requests with professionalism and patience

PART  TIME CULINARY TEAM MEMBER:   The right candidate for this position has extensive knowledge of the hospitality “industry” with a strong desire to utilize those skills in an environment that is unique and unlike the “industry”.  The right candidate is a team player,  able to problem solve individually while communicating clearly, and is interested in a longer-term stable employment.  He or she must be able to sustain a one-person kitchen, including dishwashing (when the number of guests is low) with a positive attitude and a willing spirit. Qualified candidate must be able to prepare buffet-style meals from scratch in the lakeside gallery dining room for 10-70 people. The perfect candidate must be personable, flexible, available afternoons and early evenings and part of most weekends, and able to work independently at times. Come to Rolling Ridge- and allow your culinary expertise a place to expand and be truly appreciated.

Qualifications:

•	Experience in institutional or food service setting
•	Knowledge of standards of food preparation and serving, storage of food, and kitchen procedures
•	Knowledge of and experience in preparation of special dietary foods including vegetarian, vegan, gluten free, and dairy free
•	Ability to work a flexible schedule
•	Ability to stand for long periods of time
•	Serv Safe Certified
•	Ability to move 50 pounds
•	Work with and supervise kitchen assistants in absence of Culinary Services Manager
•	Ability to have meals ready for scheduled times
•	Ability to resolve guests’ needs with dietary restriction about menu ingredients as they arise with grace.
•	Knowledge in kitchen equipment according to safe recommended methods.

PART TIME GUEST SERVICES HOST: A Guest Services Host greets and welcomes the guests and ensures that they have what they need during their stay. Essential Job Functions:
•	Ability to work as a team member.
•	Welcome guests and show to rooms.
•	 Ensure that meeting room set up and equipment needed are correct.
•	Deliver a welcome orientation to group. 
•	Help kitchen with set up and cleaning in dining room.
•	Keep coffee and tea station stocked.
•	Perform housekeeping chores such as vacuuming, taking out trash and refilling water coolers.
•	Shovel pathways for guests
•	Carry and stack chairs and tables
•	All other duties as assigned

"
30,Senior Case Manager - Woman Place,Cambridge boston/cambridge/brookline ,Feb  7,https://boston.craigslist.org/gbs/npo/d/cambridge-senior-case-manager-woman/7443012166.html,"
compensation: To Be Determined

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Bay Cove Human Services has been recognized by the Boston Globe as one of the Top Places to Work in 2021. This is the sixth year that Bay Cove has been acknowledged for this distinction.  

Mission Statement:
Bay Cove Human Services partners with people to overcome challenges and realize personal potential. 

Job Summary:
Working under the direction of the Clinical Director, the Senior Case Manager / Senior Counselor works within a multidisciplinary team, and is responsible for supporting the Clinical Director in the delivery of clinical services (including assessment, individual and group therapy) and case management for clients. The Senior Case Manager / Senior Counselor also works to ensure that clients are seamlessly transitioned to the next level of care. The Senior Case Manager / Senior Counselor supports the Bay Cove mission through their leadership and commitment to delivering quality care to clients.  This is a non-exempt position.

Supervisory Responsibilities
Supports the Clinical Director in providing orientation and guidance for Case Managers / Counselors and Student Interns.

Essential Functions of Position:

Serves as lead among the counseling staff and supports the Clinical Director in providing ongoing guidance to the counseling staff
Provides individual and group counseling/therapy that promotes a stable clinical and psychological condition for clients
Completes comprehensive assessments of clients’ health, psychological, social, and cognitive ability
Develops or participates in the development of the clients’ treatment and after care plans and documents interventions provided
Works closely with the Clinical Director to review patient records and ensure appropriate documentation of services provided in accordance with program policies/procedures
Acts as a liaison between clients and other service providers to link clients to services
Orients and trains new Case Managers / Counselors
Responsible for ongoing tracking and reporting on patient transitions post-service delivery
Assists in multidisciplinary team efforts in managing emergencies situations
Available for on-call rotations, weekend and holiday coverage as needed
Attends staff meetings, supervision, periodic reviews, and other related meetings
Attends clinical rounds and discharge planning with other unit disciplines and report on clients’ status, progress in after care and discharge plans
Performs other case management/counseling service duties as directed by the Clinical Director or Program Director

Requirements for the Position

BA/BS or minimum four years’ experience in the human services field
Three years counseling experience in substance use and mental health disorder preferred
Massachusetts license (i.e. LCSW, LADC, CADC)
Strong knowledge of the substance continuum and services and related community resources
Valid Massachusetts Driver’s License
A COVID-19 vaccination is a requirement of the position. One COVID-19 shot is acceptable, contingent on the individual receiving the second shot within the allotted time frame.

Personal Characteristics

Ability to maintain confidentiality
Ability to exercise sound judgment, remain calm under pressure and establish firm boundaries in order to effectively address client concerns and/or respond to emergencies as they arise
Ability to work with individuals with substance use and mental disorders in a respectful, compassionate and supportive manner
Must be able to work as a team member as well as independently
Ability o adapt and successfully function within a fast-paced service environment with competing demands
Demonstrated organizational skills
Strong social, verbal and written communication skills
Must have computer skills specific to Microsoft word, Excel  and Access

Physical Requirements N/A
    "
31,Program Director /Addiction Services/Womens Residence /New Day (BONUS),Cambridge boston/cambridge/brookline ,Feb  7,https://boston.craigslist.org/gbs/npo/d/cambridge-program-director-addiction/7442961731.html,"
compensation: To Be Determined

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Bay Cove Human Services has been recognized by the Boston Globe as one of the Top Places to Work in 2021. This is the sixth year that Bay Cove has been acknowledged for this distinction.  


REQ #629

Sign On Bonus- $5,000 1/2 of the amount to be paid at 6 months and the other 1/2 to be paid at 12 months of hire
Must be licensed to receive bonus

Mission Statement:
Bay Cove Human Services partners with people to overcome challenges and realize personal potential.

Job Summary:
It is the mission of the Bay Cove Treatment Center to help individuals with opioid use disorder to achieve a recovering lifestyle.  This mission is accomplished through the use of medication for opioid use disorder (either through the modality of detoxification or maintenance) and by outpatient individual and group counseling (on site and via telehealth platforms), drug screening, and added services including case management, recovery support, HIV/AIDS treatment, and family/couples counseling as needed. This is an exempt position.

Supervisory Responsibilities:

Recruit, interview and hire appropriate applicants for management/supervisory positions
Provide weekly (and more frequently as needed) supervision for all managers
Prepare and present performance evaluations to all managers
Provide corrective action for unit supervisors as needed
Preside over weekly management and monthly staff meetings 

Essential Functions of Position:

Responsible for defining with staff, consumers and community participators, the scope, purposes and philosophy of opioid treatment program and for translating this into appropriate policies and procedures
Oversight and delegation of responsibility for various program components to competent staff members, defining tasks and job descriptions for each portion
Setting up effective systems for administration, treatment, referrals, discharge, follow-up
Responsible for overseeing effective financial management procedures, quality assurance review, in-service staff training, clients rights and confidentiality
Plan, outline and organize the program's goals and objectives
Initiate and maintain program relations with community agencies
Attract new and/or supplementary funds to support program activities
Prepare reports/proposals as required by local, state and federal authorities
Oversee new and existing grants awarded to the program  
Participation in clinical tasks including intake evaluation, on-going individual and group treatment, case presentations, supervision, consultation, and education both within the clinic and the community
Coordinate and oversee the quarterly review of client charts
Perform other duties as needed

Requirements for the position:

LICSW with a minimum of five years of clinical experience
Minimum 3 years administrative experience in a community social action program, addictions treatment facility, urban planning group or related training
Demonstrated knowledge of local, state and federal funding sources for substance use treatment and control programs
Demonstrated knowledge about community health and mental health agencies and justice systems
Demonstrated ability to formulate, critically evaluate and interpret theoretical and empirical research studies of substance use and related medical, psychological and sociological issues
Demonstrated understanding of the disease concept of addiction and familiarity with the various resources that are organized to effect rehabilitation
A COVID-19 vaccination is a requirement of the position. One COVID-19 shot is acceptable, contingent on the individual receiving the second shot within the allotted time frame.

Personal Characteristics:

Must have the ability and willingness to work with individuals in a respectful and compassionate manner
Must have good communication, teaching, motivational, organizational, negotiating and leadership skills
Must be able to set limits and maintain appropriate professional boundaries with clients and staff
Must be able to abide by a strict professional code of ethics
Ability to work as a team member as well as independently
Ability to function under pressure in a fast paced environment
Must be flexible with schedule

Physical Requirements

N/A
"
32,Now hiring Family-Teaching Partners (Fully-Paid Living Expenses+Relocation), boston/cambridge/brookline ,Feb  7,https://boston.craigslist.org/gbs/npo/d/boston-now-hiring-family-teaching/7442915376.html,"
compensation: Annual starting salary of $100,000 per couple (Dependent upon location)

employment type: full-time

non-profit organization

","

QR Code Link to This Post


To apply, submit your application online at: jobs.boystown.org/family-teaching-couple     Interested in learning more about what it means to be a Family-Teaching Couple at Boys Town? Sign up for our digital newsletter here: https://resources.boystown.org/follow-a-family-email-series-hr/Keywords: social work, family advocacy, wrap-around services, foster care, case planning, case management, mental health, psychology, sociology, human services, CASA, social services, criminal justice, criminology, education, house parent, houseparent, at-risk youth, group home, partners, teacher, children, families, juvenile, coach, youth, foster parent, school, job, career, volunteer, volunteering, teacher, mentor, child, teenager, nonprofit, residential care, behavior, behavioral health, crisis intervention, Omaha, Nebraska, Florida, District of Columbia, Rhode Island, New England, Louisiana

"
33,Meals On Wheels Driver,Lynn north shore ,Feb  7,https://boston.craigslist.org/nos/npo/d/lynn-meals-on-wheels-driver/7442908833.html,"
compensation: 12 Paid Holidays, Medical, Dental, PTO, Short Term Disability, Long Term Disability, Life Insurance, and 403b Retirement Savings with company match

employment type: part-time

non-profit organization

","

QR Code Link to This Post


If working with people who are dedicated, compassionate, and concerned about their community is essential to you, then you'll appreciate being part of our team!

Extensive Benefit Package
•	12 Paid Holiday’s
•	Medical
•	Dental
•	PTO (paid time off)
•	Short Term Disability
•	Long Term Disability
•	403b Retirement Savings with company match
•	Etc.

Meals on Wheels Driver
Meals on Wheels Driver is responsible for delivering meals to homebound elders in Lynn, Lynnfield, Saugus, Swampscott, and Nahant.  Driver will pack, carry, and load the meals into company van, and then walk to deliver the meals to consumers who are in homes or housing communities.

Qualifications:
•	Must have a valid driver license with a good driving record (driving record has to be submitted at time of interview, with no surcharge-able incidents within the past three (3) years
•	Must have a high school diploma or equivalent
•	Must be at least 18 years of age
•	Must be able to lift up to 50lbs
•	Must pass fit for duty and TB test
Hours:
25 hours per week (Monday – Friday 8:00am to 1:00pm) and Per Diem available

*MUST APPLY ON COMPANY WEBSITE AT     https://glss.applicantpool.com/jobs/

*GLSS is an affirmative action and equal opportunity employer.  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including gender identity, sexual orientation, and pregnancy), national origin, age (40 or older), disability or genetic information.*

*GLSS will provide reasonable accommodations to applicants with disabilities upon request*

"
34,"Case Manager and Clinical Director (LSWA, LCSW, or LICSW)", northwest/merrimack ,Feb  7,https://boston.craigslist.org/nwb/npo/d/merrimac-case-manager-and-clinical/7442880062.html,"
compensation: depends on experience

employment type: full-time

","

QR Code Link to This Post


Unique, innovative human service agency based in Merrimac, MA serving children and youth in intensive foster care is seeking FT Senior Case Manager and FT Clinical Director.

Will be responsible for a caseload of up to 8 youth residing in foster care.  Provide support to other case managers with therapeutic strategies to meet the youth’s needs.  Provide staffing supports to foster parents as needed.  Participate in weekly staff meetings.  Flexible schedule, on call responsibilities and must have a minimum of a LSWA and 2 years’ experience as a case manager.  

•	Provide holistic, individualized, and effective Case Management supports to youth residing in the agency’s Comprehensive Foster Care Program
•	Assist with the intake and transition process for youth referred to the Program
•	Assist in working towards creating permanency for youths supported
•	Develop, follow, and implement all safety guidelines, procedures and assessment results to ensure that youth’s health, personal, safety needs are met at all times
•	Work collaboratively with the agency’s nurse to ensure that youth’s medical/dental/psychiatric needs are met at all times
•	Assist in the development of child specific treatment objectives based on DCF Service Plan goals
•	Coordinate and facilitate evidence based therapeutic supports and skill building activities to assist youth in overcoming challenges.  
•	Assist in trauma screenings, referrals for evaluations and therapy, and in establishing and implementing child specific trauma informed approaches   .
•	Assist in the development and implementation of Positive Behavior interventions and plans
•	Facilitate the implementation of established child specific supports such as sensory diet and activities, speech and language exercises, etc.
•	Work collaboratively with the Family Resource Staff in providing guidance, training, and supervision to Foster Parents and support staff
•	Visit with youths and Foster Parents at least once a week, assist with appointments as needed, provides therapeutic direct care supports
•	Participate in meetings such as Foster Care Reviews and Treatment Plan meetings as needed
•	Function as a liaison to DCF/DMH Social Workers and collaterals
•	Maintain required documentation/records and ensure compliance with all SLC, EEC, DMH, and DCF regulations, policies, contracting and reporting requirements and guidelines.
•	Assist youth  in the development and implementation of life skills and related tasks and in becoming as self- sufficient as possible ( including vocational training and employment activities) without compromising safety
•	Assist youth on the development of personal and social skills.
•	Provide crisis intervention when necessary and appropriate. 
•	Assist in collaborating with Permanent Resources on skill development related to parenting and therapeutic supports
•	Work collaboratively with the Educational Advocate and Foster Parents to ensure that youth’s educational needs are met 
•	Promote a healthy life style and assist with the development and access of meaningful community based recreational and therapeutic activities.
•	Assist in planning and facilitating therapeutic agency activities i.e. groups, classes, outings, etc.
•	Assist facilitating the application process for youths transitioning to Adult Services  
•	Promotes and teaches human rights and self- advocacy skills.
•	Assist in facilitation of discharge and after care activities
•	Participate in on call responsibilities/rotation
•	Be available to work afternoons and evenings and one weekend day.

Education: 
Minimum requirements Bachelors Degree in Social Work, Psychology or related field. As a condition of employment all applicants must have a valid LSWA, LCSW or LICSW Social Work License (meeting the DCF contractual requirements) or must obtain said license within the first six months of employment.

Experience: 
Applicants must have two years experience in Human Services, preferably working with youth with developmental disabilities or multiple challenges in a Case Management Capacity. 

Skills/Qualities/Knowledge:
•	Demonstrate knowledge of training methods and supervisory skills
•	Ability to provide comprehensive and effective case management services
•	Effective written and oral communication skills 
•	High degree of flexibility, adaptability, organization, and attention to detail. 
•	Ability to maintain a confidential working relationship 
•	Ability to prioritize and multi-task. 
•	Effective crisis intervention skills
•	Ability to apply a variety of therapeutic approaches and strategies
•	Knowledge of Trauma Informed Approaches and Positive Behavior Supports
•	Knowledge related to Sensory Integration, therapeutic groups and activities, and the benefits of Eco therapy  
•	Valid driver’s license 
•	Demonstrates solid interpersonal skills and is reliable, consistent and dependable.
•	Exhibits good judgment and decision making skills even in challenging situations.
•	Demonstrates creative problem-solving skills.
•	Works well independently and as part of a team.
•	Demonstrates initiative, commitment, and positive energy.
•	Demonstrates personal awareness/self-reflection related to work issues and performance and is committed to personal and professional growth.
•	Understandings of Shared Living Collaborative, and funding agencies policies, procedures, and regulations.
•	Understands the dynamics of comprehensive therapeutic foster care.
•	Ability to work effectively with all collaterals
•	Ability to initiate, coordinate and provide oversight related to all medical and therapeutic supports, safety procedures, skill development, behavior guidelines, assessments,  Service/Treatment Plans, Progress Reports,  etc.
•	Applicants must also demonstrate a knowledge related to all essential safeguards and procedures such as fire safety, environmental and street safety.
•	Current CPR, First Aid, certification (training can be provided)

ALL APPLICANTS MUST BE FULLY VACCINATED FOR COVID-19 PRIOR TO FIRST DAY OF EMPLOYMENT. THIS POSITION INVOLVES CONTACT WITH DISABLED AND IMMUNE COMPROMISED CHILDREN.
"
